0
sum_access_hrs_tech
num_tv
num_smartph
num_featph
num_radio
C8_1
C8_2
C8_3
C8_4
C8_5
C8_6
C8_7
C8_8
C8_9
C8_10
C8_11
C8_12
C8_13
C8_14
C7_1
C7_2
C7_3
C7_4
C7_5
C7_6
C7_7
dig_literacy
D3
D4
D5
D6
hrs_chores
B15_3
B15_4
B15_5
B15_6
B15_7
B17
D12
D10
D7
D15
income
resp_educ
urban
hh_size
sum_use_hrs_tech
